date,cboe_skew,skew_spread_proxy
2025-12-03,144.94,0.4494
2025-12-04,149.23,0.4923
2025-12-05,148.91,0.4891
2025-12-06,148.83,0.4883
2025-12-09,150.63,0.5063
2025-12-10,150.32,0.5032
2025-12-11,147.55,0.4755
2025-12-12,148.32,0.4832
2025-12-13,153.59,0.5359
2025-12-16,161.86,0.6186
2025-12-17,156.99,0.5699
2025-12-18,153.49,0.5349
2025-12-19,155.38,0.5538
2025-12-20,155.87,0.5587
2025-12-23,159.93,0.5993
2025-12-24,160.53,0.6053
2025-12-25,161.3,0.613
2025-12-27,151.45,0.5145
2025-12-30,150.47,0.5047
2025-12-31,148.33,0.4833
2026-01-01,148.7,0.487
2026-01-03,141.86,0.4186
2026-01-06,142.45,0.4245
2026-01-07,146.23,0.4623
2026-01-08,143.57,0.4357
2026-01-09,147.08,0.4708
2026-01-10,146.04,0.4604
2026-01-13,149.75,0.4975
2026-01-14,151.6,0.516
2026-01-15,152.52,0.5252
2026-01-16,151.57,0.5157
2026-01-17,153.59,0.5359
2026-01-21,154.96,0.5496
2026-01-22,144.41,0.4441
2026-01-23,141.31,0.4131
2026-01-24,144.02,0.4402
2026-01-27,148.1,0.481
2026-01-28,147.25,0.4725
2026-01-29,144.98,0.4498
2026-01-30,143.74,0.4374
2026-01-31,143.65,0.4365
2026-02-03,146.56,0.4656
2026-02-04,143.85,0.4385
2026-02-05,143.16,0.4316
2026-02-06,137.16,0.3716
2026-02-07,140.31,0.4031
2026-02-10,145.23,0.4523
2026-02-11,145.71,0.4571
2026-02-12,143.78,0.4378
2026-02-13,142.5,0.425
2026-02-14,139.35,0.3935
2026-02-18,140.28,0.4028
2026-02-19,139.17,0.3917
2026-02-20,141.19,0.4119
2026-02-21,145.52,0.4552
2026-02-24,141.43,0.4143
2026-02-25,141.94,0.4194
2026-02-26,146.05,0.4605
2026-02-27,146.57,0.4657
2026-02-28,146.67,0.4667
2026-03-03,151.78,0.5178
2026-03-04,152.83,0.5283
2026-03-05,152.87,0.5287
2026-03-06,153.95,0.5395
2026-03-07,151.8,0.518
2026-03-10,157.98,0.5798
2026-03-11,154.46,0.5446
2026-03-12,152.44,0.5244
2026-03-13,139.94,0.3994
2026-03-14,137.76,0.3776
2026-03-17,141.49,0.4149
2026-03-18,145.04,0.4504
2026-03-19,136.54,0.3654
2026-03-20,138.26,0.3826
2026-03-21,139.12,0.3912
2026-03-24,142.02,0.4202
2026-03-25,142.63,0.4263
2026-03-26,140.88,0.4088
2026-03-27,143.99,0.4399
2026-03-28,139.0,0.39
2026-03-31,142.23,0.4223
