date,close
2025-02-26,19.43
2025-02-27,19.1
2025-02-28,21.13
2025-03-01,19.63
2025-03-04,22.78
2025-03-05,23.51
2025-03-06,21.93
2025-03-07,24.87
2025-03-08,23.37
2025-03-11,27.86
2025-03-12,26.92
2025-03-13,24.23
2025-03-14,24.66
2025-03-15,21.77
2025-03-18,20.51
2025-03-19,21.7
2025-03-20,19.9
2025-03-21,19.8
2025-03-22,19.28
2025-03-25,17.48
2025-03-26,17.15
2025-03-27,18.33
2025-03-28,18.69
2025-03-29,21.65
2025-04-01,22.28
2025-04-02,21.77
2025-04-03,21.51
2025-04-04,30.02
2025-04-05,45.31
2025-04-08,46.98
2025-04-09,52.33
2025-04-10,33.62
2025-04-11,40.72
2025-04-12,37.56
2025-04-15,30.89
2025-04-16,30.12
2025-04-17,32.64
2025-04-18,29.65
2025-04-22,33.82
2025-04-23,30.57
2025-04-24,28.45
2025-04-25,26.47
2025-04-26,24.84
2025-04-29,25.15
2025-04-30,24.17
2025-05-01,24.7
2025-05-02,24.6
2025-05-03,22.68
2025-05-06,23.64
2025-05-07,24.76
2025-05-08,23.55
2025-05-09,22.48
2025-05-10,21.9
2025-05-13,18.39
2025-05-14,18.22
2025-05-15,18.62
2025-05-16,17.83
2025-05-17,17.24
2025-05-20,18.14
2025-05-21,18.09
2025-05-22,20.87
2025-05-23,20.28
2025-05-24,22.29
2025-05-27,20.57
2025-05-28,18.96
2025-05-29,19.31
2025-05-30,19.18
2025-05-31,18.57
2025-06-03,18.36
2025-06-04,17.69
2025-06-05,17.61
2025-06-06,18.48
2025-06-07,16.77
2025-06-10,17.16
2025-06-11,16.95
2025-06-12,17.26
2025-06-13,18.02
2025-06-14,20.82
2025-06-17,19.11
2025-06-18,21.6
2025-06-19,20.14
2025-06-20,22.17
2025-06-21,20.62
2025-06-24,19.83
2025-06-25,17.48
2025-06-26,16.76
2025-06-27,16.59
2025-06-28,16.32
2025-07-01,16.73
2025-07-02,16.83
2025-07-03,16.64
2025-07-04,16.38
2025-07-05,17.48
2025-07-08,17.79
2025-07-09,16.81
2025-07-10,15.94
2025-07-11,15.78
2025-07-12,16.4
2025-07-15,17.2
2025-07-16,17.38
2025-07-17,17.16
2025-07-18,16.52
2025-07-19,16.41
2025-07-22,16.65
2025-07-23,16.5
2025-07-24,15.37
2025-07-25,15.39
2025-07-26,14.93
2025-07-29,15.03
2025-07-30,15.98
2025-07-31,15.48
2025-08-01,16.72
2025-08-02,20.38
2025-08-05,17.52
2025-08-06,17.85
2025-08-07,16.77
2025-08-08,16.57
2025-08-09,15.15
2025-08-12,16.25
2025-08-13,14.73
2025-08-14,14.49
2025-08-15,14.83
2025-08-16,15.09
2025-08-19,14.99
2025-08-20,15.57
2025-08-21,15.69
2025-08-22,16.6
2025-08-23,14.22
2025-08-26,14.79
2025-08-27,14.62
2025-08-28,14.85
2025-08-29,14.43
2025-08-30,15.36
2025-09-02,16.12
2025-09-03,17.17
2025-09-04,16.35
2025-09-05,15.3
2025-09-06,15.18
2025-09-09,15.11
2025-09-10,15.04
2025-09-11,15.35
2025-09-12,14.71
2025-09-13,14.76
2025-09-16,15.69
2025-09-17,16.36
2025-09-18,15.72
2025-09-19,15.7
2025-09-20,15.45
2025-09-23,16.1
2025-09-24,16.64
2025-09-25,16.18
2025-09-26,16.74
2025-09-27,15.29
2025-09-30,16.12
2025-10-01,16.28
2025-10-02,16.29
2025-10-03,16.63
2025-10-04,16.65
2025-10-07,16.37
2025-10-08,17.24
2025-10-09,16.3
2025-10-10,16.43
2025-10-11,21.66
2025-10-14,19.03
2025-10-15,20.81
2025-10-16,20.64
2025-10-17,25.31
2025-10-18,20.78
2025-10-21,18.23
2025-10-22,17.87
2025-10-23,18.6
2025-10-24,17.3
2025-10-25,16.37
2025-10-28,15.79
2025-10-29,16.42
2025-10-30,16.92
2025-10-31,16.91
2025-11-01,17.44
2025-11-04,17.17
2025-11-05,19.0
2025-11-06,18.01
2025-11-07,19.5
2025-11-08,19.08
2025-11-11,17.6
2025-11-12,17.28
2025-11-13,17.51
2025-11-14,20.0
2025-11-15,19.83
2025-11-18,22.38
2025-11-19,24.69
2025-11-20,23.66
2025-11-21,26.42
2025-11-22,23.43
2025-11-25,20.52
2025-11-26,18.56
2025-11-27,17.19
2025-11-28,17.21
2025-11-29,16.35
2025-12-02,17.24
2025-12-03,16.59
2025-12-04,16.08
2025-12-05,15.78
2025-12-06,15.41
2025-12-09,16.66
2025-12-10,16.93
2025-12-11,15.77
2025-12-12,14.85
2025-12-13,15.74
2025-12-16,16.5
2025-12-17,16.48
2025-12-18,17.62
2025-12-19,16.87
2025-12-20,14.91
2025-12-23,14.08
2025-12-24,14.0
2025-12-25,13.47
2025-12-27,13.6
2025-12-30,14.2
2025-12-31,14.33
2026-01-01,14.95
2026-01-03,14.51
2026-01-06,14.9
2026-01-07,14.75
2026-01-08,15.38
2026-01-09,15.45
2026-01-10,14.49
2026-01-13,15.12
2026-01-14,15.98
2026-01-15,16.75
2026-01-16,15.84
2026-01-17,15.86
2026-01-20,18.84
2026-01-21,20.09
2026-01-22,16.9
2026-01-23,15.64
2026-01-24,16.09
2026-01-27,16.15
2026-01-28,16.35
2026-01-29,16.35
2026-01-30,16.88
2026-01-31,17.44
2026-02-03,16.34
2026-02-04,18.0
2026-02-05,18.64
2026-02-06,21.77
2026-02-07,17.76
2026-02-10,17.36
2026-02-11,17.79
2026-02-12,17.65
2026-02-13,20.82
2026-02-14,20.6
2026-02-17,21.2
2026-02-18,20.29
2026-02-19,19.62
2026-02-20,20.23
2026-02-21,19.09
2026-02-24,21.01
2026-02-25,19.55
2026-02-26,17.93
2026-02-27,18.63
2026-02-28,19.86
2026-03-03,21.44
2026-03-04,23.57
2026-03-05,21.15
2026-03-06,23.75
2026-03-07,29.49
2026-03-10,25.5
2026-03-11,24.93
2026-03-12,24.23
2026-03-13,27.29
2026-03-14,27.19
2026-03-17,23.51
2026-03-18,22.37
2026-03-19,25.09
2026-03-20,24.06
2026-03-21,26.78
2026-03-24,26.15
2026-03-25,26.95
2026-03-26,25.33
2026-03-27,27.44
2026-03-28,31.05
2026-03-31,30.61
